PARENT COMPANY NAME,STOCK CODE,,,,
3M CO,MMM,,,,
ABBOTT LABORATORIES,ABT,,,,
ABBVIE INC,ABBV,,,,
ADVANSIX INC,ASIX,,,,
AEMETIS INC,AMTX,,,,
AES CORP,AES,,,,
AFK & Co Inc,AFK,,,,
AGC AMERICA INC,ASGLY,,,,
AGRIUM US INC,AGU,,,,
AIR PRODUCTS & CHEMICALS INC,APD,,,,
AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC,AJINY,,,,
ALBEMARLE CORP,ALB,,,,
ALCOA CORP,AA,,,,
ALCON LABORATORIES INC,ALC,,,,
ALEXANDER & BALDWIN INC,ALEX,,,,
ALLEGHENY TECHNOLOGIES INC,ATI,,,,
ALLETE INC,ALE,,,,
ALLIANT ENERGY CORP,LNT,,,,
ALLISON TRANSMISSION HOLDINGS INC,ALSN,,,,
ALPHA & OMEGA SEMICONDUCTOR,AOSL,,,,
ALPHA METALLURGICAL RESOURCES INC,AMR,,,,
ALPHABET INC,GOOG,,,,
ALTO INGREDIENTS INC,ALTO,,,,
ALTRIA GROUP INC,MO,,,,
AMEREN CORP,AEE,,,,
AMERICAN AIRLINES GROUP INC,AAL,,,,
AMERICAN CRYSTAL SUGAR CO,ASCS,,,,
AMERICAN ELECTRIC POWER CO INC,AEP,,,,
AMERICAN HONDA MOTOR CO INC,HMC,,,,
AMGEN INC,AMGN,,,,
AMPCO-PITTSBURGH CORP,AP,,,,
AMPLIFY ENERGY CORP,AMPY,,,,
ANALOG DEVICES INC,ADI,,,,
ANTERO RESOURCES CORP,AR,,,,
APA CORP,APA,,,,
ARCH RESOURCES INC,ARCH,,,,
ARCHER DANIELS MIDLAND CO,ADM,,,,
ARCONIC CORP,ARNC,,,,
ARCOSA INC,ACA,,,,
ARDAGH GLASS INC,ARD,,,,
ARDAGH GLASS PACKAGING INC,ARD,,,,
ARES CAPITAL CORP,ARCC,,,,
ARES MANAGEMENT CORP,ARES,,,,
ARMSTRONG WORLD INDUSTRIES INC,AWI,,,,
ASHLAND GLOBAL HOLDINGS INC,ASH,,,,
ATMOS ENERGY CORP,ATO,,,,
AUTOZONE INC,AZO,,,,
AVANGRID INC,AGR,,,,
AVISTA CORP,AVA,,,,
BARRICK GOLD OF NORTH AMERICA INC,BC,,,,
BASF CORP,BASFY,,,,
BATTALION OIL CORP,BATL,,,,
Baxter International Inc,BAX,,,,
BERKSHIRE HATHAWAY ENERGY,BRK.B,,,,
BERKSHIRE HATHAWAY INC,BRK.B,,,,
BERRY CORP (BRY),BRY,,,,
BERRY GLOBAL GROUP INC,BERY,,,,
BIOGEN INC,BIIB,,,,
BLACK HILLS CORP,BKH,,,,
BLACKROCK INC,BLK,,,,
BOISE CASCADE CO,BCC,,,,
BP AMERICA INC,BP,,,,
BRASKEM AMERICA INC,BAK,,,,
BRISTOL-MYERS SQUIBB CO,BMY,,,,
BROADCOM INC,AVGO,,,,
BROWN-FORMAN CORP,BF.B,,,,
BRUNSWICK CORP,BC,,,,
CABOT CORP,CBT,,,,
CAESARS ENTERTAINMENT CORP,CZR,,,,
CALIFORNIA RESOURCES CORP,CRC,,,,
CALLON PETROLEUM CO,CPE,,,,
CAMPBELL SOUP CO,CPB,,,,
CAPITAL POWER,CPXWF,,,,
CARLISLE COS INC,CSL,,,,
CARPENTER TECHNOLOGY CORP,CRS,,,,
CARRIER GLOBAL CORP,CARR,,,,
CASELLA WASTE SYSTEMS INC,CWST,,,,
CATERPILLAR INC,CAT,,,,
CELANESE CORP,CE,,,,
CEMEX INC,CX,,,,
CENTERPOINT ENERGY INC,CNP,,,,
CENTURY ALUMINUM CO,CENX,,,,
CF INDUSTRIES HOLDINGS INC,CF,,,,
CHEMTRADE LOGISTICS INC,CGIFF,,,,
CHENIERE ENERGY INC,LNG,,,,
CHESAPEAKE ENERGY CORP,CHK,,,,
CHESAPEAKE UTILITIES CORP,CPK,,,,
CHEVRON CORP,CVX,,,,
CHEVRON USA INC,CVX,,,,
CHS INC,CHSCL,,,,
CIVITAS RESOURCES INC,CIVI,,,,
CLARIANT CORP,CLZNY,,,,
CLEAN HARBORS INC,CLH,,,,
CLEARWATER PAPER CORP,CLW,,,,
CLEARWAY ENERGY INC,CWEN,,,,
CLEVELAND-CLIFFS INC,CLF,,,,
CMO INC,CMO,,,,
CMS ENERGY CORP,CMS,,,,
CNX RESOURCES CORP,CNX,,,,
COEUR MINING INC,CDE,,,,
COMMERCIAL METALS CO,CMC,,,,
COMPASS MINERALS INTERNATIONAL INC,CMP,,,,
COMSTOCK RESOURCES INC,CRK,,,,
CONAGRA BRANDS INC,CAG,,,,
CONOCOPHILLIPS,COP,,,,
CONSOL ENERGY INC,CEIX,,,,
CONSOLIDATED EDISON INC,ED,,,,
Constellation Energy Corp,CEG,,,,
CONTINENTAL RESOURCES INC,CLR,,,,
COOPER TIRE & RUBBER CO,CTB,,,,
Corning Energy Corp,GLW,,,,
CORNING INC,GLW,,,,
CORTEVA INC,CTVA,,,,
COTERRA ENERGY INC,CTRA,,,,
COVANTA HOLDING CORP,CVA,,,,
COVIA HOLDINGS CORP,CVIA,,,,
CREE INC,WOLF,,,,
CRESCENT POINT ENERGY US CORP,CPG,,,,
CRH AMERICAS INC,CRH,,,,
CRODA INTERNATIONAL PUBLIC LC,CRDA,,,,
DAIKIN HOLDINGS AMERICA INC,DKILY,,,,
DARLING INGREDIENTS INC,DAR,,,,
"Darling Ingredients, Inc",DAR,,,,
DEERE & CO,DE,,,,
DELEK US HOLDINGS INC,DK,,,,
DELTA AIR LINES INC,DAL,,,,
DEVON ENERGY CORP,DVN,,,,
DIAMONDBACK ENERGY INC,FANG,,,,
Diodes INC,DIOD,,,,
DIVERSIFIED GAS & OIL CORP,DEC,,,,
DOMINION ENERGY INC,D,,,,
DOW INC,DOW,,,,
DT Midstream INC,DTM,,,,
DTE ENERGY CO,DTE,,,,
DUKE ENERGY CORP,DUK,,,,
DUPONT DE NEMOURS INC,DD,,,,
EAGLE MATERIALS INC,EXP,,,,
Eastman Chemical Co,EMN,,,,
ECOVYST INC,ECVT,,,,
EDISON INTERNATIONAL,EIX,,,,
ELI LILLY & CO,LLY,,,,
Enbridge (US) Inc,ENB,,,,
ENERGY HARBOR CORP,ENGH,,,,
ENERPLUS RESOURCES USA CORP,ERF,,,,
ENTERGY CORP,ETR,,,,
EOG RESOURCES INC,EOG,,,,
EQT CORP,EQT,,,,
EQUITRANS MIDSTREAM CORP,ETRN,,,,
ESSENTIAL UTILITIES INC,WTRG,,,,
EVERGY INC,EVRG,,,,
EVERSOURCE ENERGY,ES,,,,
EXCO RESOURCES INC,EXCE,,,,
EXELON CORP,EXC,,,,
EXXON MOBIL CORP,XOM,,,,
FIRSTENERGY CORP,FE,,,,
FORD MOTOR CO,F,,,,
FREEPORT-MCMORAN INC,FCX,,,,
FRESENIUS MEDICAL CARE HOLDINGS INC,FMS,,,,
FTAI INFRASTRUCTURE INC,FIP,,,,
FUJIFILM HOLDINGS AMERICA CORP,FUJIY,,,,
FUTUREFUEL CORP,FF,,,,
FUYAO GLASS AMERICA INC,FYGGY,,,,
GENERAL ELECTRIC CO,GE,,,,
GENERAL MILLS INC,GIS,,,,
GENERAL MOTORS CO,GM,,,,
GENTEX POWER CORP,GNTX,,,,
GERDAU USA INC,GGB,,,,
GEVO INC,GEVO,,,,
GFL ENVIRONMENTAL HOLDINGS (US) INC,GFL,,,,
GFL Environmental Inc,GFL,,,,
GFL ENVIRONMENTAL INC ,GFL,,,,
GFL ENVIRONMENTAL USA INC,GFL,,,,
GH GROUP INC,GH,,,,
GLANBIA INC,GLAPY,,,,
Global Clean Energy,GCEH,,,,
GLOBALFOUNDRIES US INC,GFS,,,,
GRAPHIC PACKAGING HOLDING CO,GPK,,,,
GREEN PLAINS INC,GPRE,,,,
GREIF INC,GEF,,,,
