GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,LISTED,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1002574,110070834967,2022,3M COMPANY,3M CENTER,ST PAUL,MN,55144,RAMSEY COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,339999
1003188,110000599273,2022,3M BROWNWOOD,4501 HIGHWAY 377 SOUTH,BROWNWOOD,TX,76801,BROWN COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,326113
1003408,110071161417,2022,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,3110 WALTERS DRIVE,LITTLE ROCK,AR,72206,PULASKI COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,327999
1003739,110000589159,2022,3M CO - GUIN,6675 US HIGHWAY 43,GUIN,AL,35563,MARION COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,326113
1004206,110000367567,2022,3M COMPANY,1400 STATE DOCKS RD.,DECATUR,AL,35609,MORGAN COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,325211
1004804,110000443805,2022,3M NEVADA PLANT,2120 E. AUSTIN,NEVADA,MO,64772,VERNON COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,326113
1004836,110000423667,2022,3M Cottage Grove Center - Site,10746 Innovation Rd,Cottage Grove,MN,55016,WASHINGTON COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,325998
1004914,110000425059,2022,3M MAGNETIC TAPE MANUFACTURING DIVISION,905-915 ADAMS STREET SOUTHEAST,HUTCHINSON,MN,55350,MCLEOD COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,326199
1005043,110071160392,2022,3M CO,,MAPLEWOOD,MN,55144,RAMSEY COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,541715
1006665,110013886875,2022,3M CORDOVA,22614 ROUTE 84 NORTH,CORDOVA,IL,61242,ROCK ISLAND COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,325998
1007698,110000421776,2022,3M CO - WAUSAU DOWNTOWN,144 ROSECRANS ST,WAUSAU,WI,54401,MARATHON COUNTY,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,212313
1013282,,2022,3M Pittsboro,4191 Hwy 87 South,Moncure,NC,27559,,1,3M CO,3M Center,St. Paul,MN,55144-1000,100,327999
1000378,110063125577,2022,Abbott Laboratories,1250 West Maricopa Highway,Casa Grande,AZ,85193,PINAL COUNTY,1,ABBOTT LABORATORIES,100 Abbott Park Rd.,Abbott Park,IL,60064,100,311514
1002983,110018042562,2022,ABBOTT PARK FACILITY,100 ABBOTT PARK RD,ABBOTT PARK,IL,60064,LAKE COUNTY,1,ABBOTT LABORATORIES,100 Abbott Park Rd.,Abbott Park,IL,60064,100,424210
1003205,110056588161,2022,Abbott Nutrition - A Division of Abbott Laboratories,1518 MAIN STREET,ALTAVISTA,VA,24517,CAMPBELL COUNTY,1,ABBOTT LABORATORIES,100 Abbott Park Rd.,Abbott Park,IL,60064,100,311514
1012993,110013815005,2022,Abbott Nutrition,585 Cleveland Ave,Columbus,OH,43215,FRANKLIN COUNTY,1,ABBOTT LABORATORIES,100 Abbott Park Rd.,Abbott Park,IL,60064,100,311514
1002975,110071161195,2022,North Chicago Facility,1401 SHERIDAN RD,NORTH CHICAGO,IL,60064,LAKE COUNTY,1,ABBVIE INC,1 North Waukegan Road,Norrth Chicago,IL,60064,100,325411
1007514,110007806188,2022,ABBVIE LTD.,RD 2 KM 58.0,BARCELONETA,PR,00617,BARCELONETA MUNICIPIO,1,ABBVIE INC,1 North Waukegan Road,Norrth Chicago,IL,60064,100,325412
1000089,110038495768,2022,AdvanSix Resins & Chemicals LLC,2501 MARGARET STREET,PHILADELPHIA,PA,19137,Philadelphia,1,ADVANSIX INC,"300 Kimball Drive, Suite 101",Parsippany,NJ,07054,100,325194
1000627,110000342460,2022,ADVANSIX INC - CHESTERFIELD PLANT,4101 BERMUDA HUNDRED RD,CHESTER,VA,23836,CHESTERFIELD COUNTY,1,ADVANSIX INC,"300 Kimball Drive, Suite 101",Parsippany,NJ,07054,100,325211
